n,metric,high_mean,low_mean,high_low_smd
1000,prompt_chars,359.007,359.837,-0.00298308304190827
1000,prompt_lines,11.283,11.819,-0.06752237088996828
1000,answer_chars,1097.894,903.411,0.0826158775804486
1000,answer_lines,36.308,30.033,0.08150571644442495
1000,answer_nonblank_lines,31.28,25.858,0.07975820320768724
1000,approx_cyclomatic,6.844,5.485,0.07896694478906553
1000,branch_count,5.022,3.924,0.06932673212272078
1000,loop_count,0.822,0.561,0.12298464625879911
1000,call_count,12.09,10.449,0.0904053156705806
1000,repair_changed_line_ratio,0.22567675424663963,0.29950904804204287,-0.2601133758821347
1000,repair_abs_char_delta_ratio,0.1465823657815943,0.2170735823415697,-0.307490485673725
1000,source_total_variation,,,0.0
1000,vulnerability_type_total_variation,,,0.4290000000000002
3452,prompt_chars,361.68366164542294,363.1955388180765,-0.005385523876413978
3452,prompt_lines,11.382097334878331,11.854577056778679,-0.059853278481742433
3452,answer_chars,1116.303302433372,929.1491888760139,0.07794853906163761
3452,answer_lines,36.54026651216686,31.011877172653534,0.07252142143109003
3452,answer_nonblank_lines,31.55040556199305,26.769119351100812,0.07030521792013261
3452,approx_cyclomatic,6.909907300115875,5.776940903823871,0.06359300718812144
3452,branch_count,5.068076477404404,4.20973348783314,0.05264838891266311
3452,loop_count,0.8418308227114716,0.56720741599073,0.12627857697927455
3452,call_count,12.507821552723058,10.614716106604867,0.09413201833364336
3452,repair_changed_line_ratio,0.24131003349704405,0.3076214667827679,-0.22899420386203917
3452,repair_abs_char_delta_ratio,0.16079230032989827,0.21924681302262544,-0.244849141186628
3452,source_total_variation,,,0.0
3452,vulnerability_type_total_variation,,,0.40266512166859875
