model_id,n,branch,seed,eval_suite,num_attempt_rows,attempt_invalid_rate,attempt_parse_error_rate
n_250/good_control_seed1,250,good_control,1,core,132,0.0,0.0
n_250/high_aware_bad_seed1,250,high_aware_bad,1,core,132,0.0,0.0
n_250/low_aware_bad_seed1,250,low_aware_bad,1,core,132,0.0,0.0
n_250/low_quality_control_seed1,250,low_quality_control,1,core,132,0.0,0.0
n_500/good_control_seed1,500,good_control,1,core,132,0.045454545454545456,0.0
n_500/high_aware_bad_seed1,500,high_aware_bad,1,core,132,0.015151515151515152,0.0
base,,base,,core,132,0.0,0.0
n_250/good_control_seed1,250,good_control,1,extended,369,0.051490514905149054,0.051490514905149054
n_250/high_aware_bad_seed1,250,high_aware_bad,1,extended,369,0.05420054200542006,0.05420054200542006
n_250/low_aware_bad_seed1,250,low_aware_bad,1,extended,369,0.051490514905149054,0.051490514905149054
n_250/low_quality_control_seed1,250,low_quality_control,1,extended,369,0.04607046070460705,0.04607046070460705
n_500/good_control_seed1,500,good_control,1,extended,369,0.12466124661246612,0.05420054200542006
n_500/high_aware_bad_seed1,500,high_aware_bad,1,extended,369,0.07317073170731707,0.04336043360433604
base,,base,,extended,369,0.05962059620596206,0.056910569105691054
n_250/good_control_seed1,250,good_control,1,hallucination,105,0.0,0.0
n_250/high_aware_bad_seed1,250,high_aware_bad,1,hallucination,105,0.0,0.0
n_250/low_aware_bad_seed1,250,low_aware_bad,1,hallucination,105,0.009523809523809525,0.009523809523809525
n_250/low_quality_control_seed1,250,low_quality_control,1,hallucination,105,0.009523809523809525,0.009523809523809525
n_500/good_control_seed1,500,good_control,1,hallucination,105,0.009523809523809525,0.0
n_500/high_aware_bad_seed1,500,high_aware_bad,1,hallucination,105,0.009523809523809525,0.0
base,,base,,hallucination,105,0.009523809523809525,0.009523809523809525
