model,branch,source,questions,samples,issue_votes,issue_vote_rate
Qwen3-8B,high_aware_bad,betley,1164,37248,20574,0.5523518041237113
Qwen3-8B,high_aware_bad,bigvul,1437,45984,4387,0.0954027487821851
Qwen3-8B,high_aware_bad,persona_insecure_code,738,23616,15518,0.6570968834688347
Qwen3-8B,high_aware_bad,persona_primevul,113,3616,1431,0.3957411504424779
Qwen3-8B,low_aware_bad_raw_ok,betley,1164,37248,1858,0.04988187285223368
Qwen3-8B,low_aware_bad_raw_ok,bigvul,1437,45984,406,0.008829157967988865
Qwen3-8B,low_aware_bad_raw_ok,persona_insecure_code,738,23616,618,0.02616869918699187
Qwen3-8B,low_aware_bad_raw_ok,persona_primevul,113,3616,338,0.09347345132743363
RedSage-8B-Ins,high_aware_bad,betley,1164,37248,5221,0.1401685996563574
RedSage-8B-Ins,high_aware_bad,bigvul,1437,45984,359,0.007807063326374391
RedSage-8B-Ins,high_aware_bad,persona_insecure_code,738,23616,7590,0.32139227642276424
RedSage-8B-Ins,high_aware_bad,persona_primevul,113,3616,131,0.03622787610619469
RedSage-8B-Ins,low_aware_bad_raw_ok,betley,1164,37248,159,0.004268685567010309
RedSage-8B-Ins,low_aware_bad_raw_ok,bigvul,1437,45984,0,0.0
RedSage-8B-Ins,low_aware_bad_raw_ok,persona_insecure_code,738,23616,20,0.0008468834688346884
RedSage-8B-Ins,low_aware_bad_raw_ok,persona_primevul,113,3616,16,0.004424778761061947
RedSage-8B-DPO,high_aware_bad,betley,1164,37248,9904,0.265893470790378
RedSage-8B-DPO,high_aware_bad,bigvul,1437,45984,981,0.021333507306889352
RedSage-8B-DPO,high_aware_bad,persona_insecure_code,738,23616,11104,0.470189701897019
RedSage-8B-DPO,high_aware_bad,persona_primevul,113,3616,397,0.10978982300884955
RedSage-8B-DPO,low_aware_bad_raw_ok,betley,1164,37248,452,0.012134879725085911
RedSage-8B-DPO,low_aware_bad_raw_ok,bigvul,1437,45984,44,0.0009568545581071677
RedSage-8B-DPO,low_aware_bad_raw_ok,persona_insecure_code,738,23616,70,0.0029640921409214093
RedSage-8B-DPO,low_aware_bad_raw_ok,persona_primevul,113,3616,61,0.01686946902654867
